pid,captureTime,userName,startInstant,totalCpuDuration,command,parentPid,hasChildren
0,1717529975.87016,NT AUTHORITY\SYSTEM,0.0,14480.546874999998,,0,True
4,1717529975.87016,NT AUTHORITY\SYSTEM,0.0,56.34375,,0,True
56,1717529975.87016,None,1717525694.5140862,0.0,,4,False
116,1717529975.87016,None,1717525694.5410445,0.828125,,4,False
412,1717529975.87016,None,1717525696.0235708,0.125,,4,False
480,1717529975.87016,None,1717525701.8066006,7.515625,,808,False
600,1717529975.87016,None,1717525698.8047493,0.890625,,588,False
668,1717529975.87016,None,1717525701.836918,0.296875,,808,False
736,1717529975.87016,None,1717525700.7565405,0.0625,,588,True
744,1717529975.87016,None,1717525700.7595727,61.75,,728,False
808,1717529975.87016,None,1717525700.8569143,6.375,,736,True
828,1717529975.87016,None,1717525700.8957403,0.078125,,736,False
836,1717529975.87016,None,1717525700.8988435,3.390625,,736,False
876,1717529975.87016,None,1717525701.896519,0.078125,,728,True
964,1717529975.87016,None,1717525701.1892738,2.875,,808,True
992,1717529975.87016,None,1717525701.212927,0.015625,,736,False
1036,1717529975.87016,None,1717525702.2080865,0.671875,,808,False
1040,1717529975.87016,None,1717525701.9226468,0.65625,,876,False
1120,1717529975.87016,None,1717525701.9826908,545.484375,,876,False
1192,1717529975.87016,DESKTOP-JII336K\claud,1717525777.138326,0.765625,C:\Users\claud\AppData\Local\Programs\Microsoft VS Code\Code.exe c:\Users\claud\.vscode\extensions\visualstudioexptteam.intellicode-api-usage-examples-0.2.8\dist\server\server.js --node-ipc --clientProcessId=13764,13764,False
1200,1717529975.87016,None,1717525702.0025072,0.03125,,808,False
1260,1717529975.87016,None,1717525702.0147717,0.03125,,808,False
1276,1717529975.87016,None,1717525702.01931,0.09375,,808,False
1284,1717529975.87016,None,1717525702.020154,0.078125,,808,False
1304,1717529975.87016,None,1717525702.0248935,0.078125,,808,False
1328,1717529975.87016,DESKTOP-JII336K\claud,1717525734.382216,0.0,C:\Program Files\AMD\CNext\CNext\cncmd.exe watch 11492,11492,False
1404,1717529975.87016,None,1717525702.0444365,0.046875,,808,False
1412,1717529975.87016,None,1717525702.044784,0.0625,,808,False
1516,1717529975.87016,None,1717525702.0671191,0.90625,,808,True
1524,1717529975.87016,None,1717525702.0683682,2.109375,,808,False
1572,1717529975.87016,DESKTOP-JII336K\claud,1717526571.6851244,1.1875,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=utility --utility-sub-type=audio.mojom.AudioService --lang=es --service-sandbox-type=audio --enable-quic --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --field-trial-handle=5588,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=5492 /prefetch:8,13680,False
1624,1717529975.87016,None,1717525702.0942304,1.203125,,808,False
1672,1717529975.87016,None,1717525702.1070774,0.015625,,808,False
1724,1717529975.87016,None,1717525702.1199465,0.0625,,808,False
1780,1717529975.87016,None,1717525702.1295977,1.015625,,808,True
1792,1717529975.87016,None,1717525702.132358,0.03125,,808,False
1812,1717529975.87016,None,1717525702.134343,0.03125,,808,False
1836,1717529975.87016,DESKTOP-JII336K\claud,1717526571.9078157,0.484375,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --extension-process --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=879299057 --field-trial-handle=6640,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=6664 /prefetch:2,13680,False
1860,1717529975.87016,None,1717525702.1487231,0.21875,,808,False
